,Point,Coeff,Intercept,R2,2025,2030,2035,2040,2050,2075,2100,yearcoeff_mm,Lat,Long
41,"(29.5, -128.5)",-1.3805166055282006e-07,0.7469176280702441,5.8518913449656665e-05,0.7452935883355007,0.7450415060033313,0.7447894236711619,0.7445373413389924,0.7440330386229929,0.7427724889104851,0.7415119391979773,-0.05038885610177932,29.5,-128.5
42,"(29.5, -127.5)",-9.73671487519482e-07,0.73889736186343,0.002984054105495737,0.7274430904842508,0.7256651663480402,0.7238872422118297,0.7221093180756191,0.7185524961317105,0.7096619017791701,0.7007713074266296,-0.35539009294461094,29.5,-127.5
43,"(29.5, -126.5)",-1.6214691863986487e-06,0.7307014329791099,0.008720069975424736,0.7116264694703163,0.7086656667359523,0.7057048640015884,0.7027440612672244,0.6968208343293102,0.6820151991883041,0.667209564047298,-0.5918362530355068,29.5,-126.5
44,"(29.5, -125.5)",-2.123480344192553e-06,0.7224857963598939,0.016053291262937308,0.6975051735908127,0.6936276984823171,0.6897502233738214,0.6858727482653258,0.6781156745679905,0.6587261755451682,0.639336676522346,-0.7750703256302819,29.5,-125.5
45,"(29.5, -124.5)",-2.554119841509831e-06,0.714320697213285,0.025103856834118417,0.6842740313977633,0.6796102085671664,0.6749463857365694,0.6702825629059724,0.660952363124937,0.6376306948521108,0.6143090265792845,-0.9322537421510884,29.5,-124.5
46,"(29.5, -123.5)",-2.9840884160061218e-06,0.7058549749998476,0.03708181995625148,0.6707501588739516,0.6653012134263244,0.6598522679786972,0.6544033225310699,0.6435024475473997,0.6162547362208478,0.5890070248942959,-1.0891922718422344,29.5,-123.5
47,"(29.5, -122.5)",-3.3804215354786763e-06,0.6962304672017515,0.05058523708002205,0.6564631882583803,0.6502905385345963,0.6441178888108122,0.6379452390870282,0.6255965592179246,0.5947299301774688,0.5638633011370129,-1.233853860449717,29.5,-122.5
48,"(29.5, -121.5)",-3.636042421982219e-06,0.6848350585864125,0.06085406960388706,0.6420606555342137,0.6354212420716742,0.6287818286091346,0.6221424151465951,0.6088599521790939,0.5756592488239743,0.5424585454688547,-1.32715548402351,29.5,-121.5
49,"(29.5, -120.5)",-3.722133133538504e-06,0.6710406457222006,0.06463701966397317,0.6272534715392536,0.6204568564374123,0.6136602413355711,0.6068636262337297,0.5932666738969136,0.5592798762545734,0.5252930786122334,-1.358578593741554,29.5,-120.5
50,"(29.5, -119.5)",-3.7419379213362326e-06,0.6545860075908917,0.06150472865807255,0.6105658498842923,0.6037330712399323,0.5969002925955723,0.5900675139512124,0.5763982147245711,0.54223057956485,0.5080629444051288,-1.3658073412877247,29.5,-119.5
51,"(29.5, -118.5)",-3.712395774324038e-06,0.6356373606580984,0.04952452008102126,0.5919647367689505,0.5851859020850347,0.578407067401119,0.5716282327172033,0.5580668509535976,0.5241689651382448,0.490271079322892,-1.3550244576282737,29.5,-118.5
52,"(29.5, -117.5)",-3.4678566318065988e-06,0.6134667887402879,0.030808684267645606,0.5726709233237149,0.5663386171140362,0.5600063109043574,0.5536740046946785,0.5410059244186889,0.509340925513663,0.4776759266086369,-1.2657676706094085,29.5,-117.5
53,"(29.5, -116.5)",-2.9602562787451864e-06,0.5889273394561902,0.015083053576195328,0.5541028845930319,0.5486974566280431,0.5432920286630545,0.5378866006980657,0.5270727845118096,0.5000426844305873,0.473012584349365,-1.080493541741993,29.5,-116.5
54,"(29.5, -115.5)",-2.408936942644595e-06,0.5664758361465532,0.006826069503278798,0.5381371019532821,0.5337383830960132,0.5293396642387441,0.5249409453814751,0.5161410987299944,0.4941450955067066,0.4721490922834188,-0.8792619840652771,29.5,-115.5
55,"(29.5, -114.5)",-1.9371696466596448e-06,0.5486722034102088,0.0031877259784962586,0.5258833396869048,0.5223460679121043,0.5188087961373038,0.5152715243625032,0.5081950436432555,0.4905067475996063,0.4728184515559571,-0.7070669210307703,29.5,-114.5
56,"(29.5, -113.5)",-1.4910120002659147e-06,0.5351802366176589,0.0014415388069801693,0.5176399714465307,0.5149173835340451,0.5121947956215596,0.509472207709074,0.5040255408721026,0.4904111102976746,0.4767966797232465,-0.5442193800970588,29.5,-113.5
57,"(29.5, -112.5)",-1.0064844600573126e-06,0.53068998322709,0.0005642308879614255,0.5188497000389758,0.5170118594149111,0.5151740187908466,0.5133361781667819,0.5096594904341925,0.5004692808294092,0.4912790712246259,-0.36736682792091907,29.5,-112.5
